time,seconds_elapsed,steps
1759925725878711800,12.1187119140625,6
1759925728439745800,14.679745849609375,7
1759925731000777700,17.24077783203125,7
1759925733561812000,19.80181201171875,7
1759925769416660700,55.65666064453125,7
1759925771977699300,58.21769921875,16
1759925774538733800,60.77873388671875,18
1759925777099763700,63.339763671875,18
1759925779660792800,65.90079272460937,18
1759925782221819600,68.46181958007813,18
1759925882100291800,168.34029174804687,18
1759925884661270000,170.90127001953124,18
1759925887222244600,173.46224462890626,18
1759925889783230200,176.02323022460936,18
1759925892344224000,178.58422412109374,18
1759925894905237800,181.14523779296874,18
1759925897466266600,183.7062666015625,18
1759925900027309000,186.26730908203126,18
1759926286752296000,572.9922958984375,18
1759926289313439000,575.5534389648437,28
1759926291874587600,578.1145876464843,30
1759926294435725300,580.6757253417969,30
1759926296996873700,583.2368737792968,30
1759926299558046700,585.7980466308594,30
1759926302119239700,588.3592397460937,33
1759926304680451300,590.9204514160157,33
1759926307241662000,593.4816618652344,33
1759926309802869200,596.042869140625,33
1759926312364081400,598.6040812988281,33
1759926314925299700,601.1652998046875,33
1759926317486522600,603.7265227050781,33
1759926509581603000,795.8216030273437,33
1759926512142701000,798.382701171875,33
1759926514703796700,800.9437966308594,33
1759926517264882700,803.5048825683593,33
1759926519825970700,806.065970703125,33
1759926522387054300,808.6270544433594,33
1759926524948136400,811.1881364746093,33
1759926527509217300,813.7492172851563,33
1759926530070294000,816.3102939453125,33
1759926532631383600,818.8713835449219,33
1759926535192477400,821.4324775390625,33
1759926637644905200,923.8849052734375,33
1759926640206198800,926.4461987304687,41
1759926642767493400,929.0074934082031,41
1759926645328790500,931.5687905273437,41
1759926647890086100,934.1300861816406,41
1759926855344939800,1141.5849396972656,41
1759926857906279700,1144.1462797851561,49
1759926860467629000,1146.7076291503906,49
1759926863028970200,1149.2689702148436,49
1759926865590308000,1151.8303081054687,49
1759926868151646000,1154.3916459960938,49
1759926870712979000,1156.9529790039062,49
1759926873274310700,1159.514310546875,49
1759926875835634400,1162.0756345214843,49
1759926878396950300,1164.6369501953125,53
1759926880958258000,1167.1982578125,53
1759926883519560400,1169.759560546875,53
1759926886080862000,1172.320862060547,53
1759926888642155500,1174.8821555175782,53
1759926891203445500,1177.4434455566407,64
1759926893764741400,1180.0047414550781,64
1759926896326043600,1182.5660437011718,69
1759926898887342300,1185.1273422851561,74
1759926901448631300,1187.6886313476562,77
1759926904009906000,1190.2499060058594,77
1759926906571181300,1192.8111813964845,81
1759926909132455000,1195.3724548339844,85
1759926911693724200,1197.9337241210937,90
1759926914254987300,1200.4949873046876,95
1759926916816248000,1203.056248046875,100
1759926919377497000,1205.6174970703125,106
1759926921938745900,1208.1787458496094,111
1759926924499995400,1210.739995361328,116
1759926927061259300,1213.3012592773437,120
1759926929622540300,1215.862540283203,123
1759926932183837400,1218.4238374023437,123
1759926939867731200,1226.1077312011719,123
1759926942429021400,1228.669021484375,123
1759926983409206000,1269.6492060546875,123
1759926985970526700,1272.210526611328,123
1759926988531850800,1274.7718508300782,129
1759926991093174000,1277.3331740722656,134
1759926993654499600,1279.8944995117188,140
