time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1759925712648910000,-1.11108984375,678.6111164093018,-1,-1,-33.44712465890021,651.7417278289795,-1,74.87794243616614,447.5160058736801,-70.58614072004013,-1
1759925713831435000,0.07143505859375,678.6111164093018,-1,-1,-33.44712465890021,651.7417278289795,-1,74.87794243616614,447.5160058736801,-70.58614072004013,-1
1759925713837107000,0.07710693359375,678.6111164093018,-1,-1,-33.44712529887744,651.7417278289795,-1,74.96636815965707,614.5224082231522,-70.58614493402395,-1
1759925713968335000,0.208335205078125,636.1714351870975,-1,-1,-33.4467341822672,609.3020466067752,-1,26.990609008309036,263.8089632892609,-70.58598776594367,-1
1759925715425799000,1.665798828125,636.1345100692758,-1,-1,-33.44672595232726,609.2651214889536,-1,26.999928073670134,123.52358531570435,-70.58581634608537,-1
1759925724935677000,11.175677001953124,636.0044638405269,2.925283866289412,18.512956734031516,-33.44642236545988,609.1350752602046,297.7191335962864,30.0917264021702,12.035623349298204,-70.58649038160026,6.012251377105713
1759925725935657700,12.17565771484375,636.010217545564,2.9380945942492973,17.05303883599541,-33.44637283340298,609.1408289652418,299.31698230736095,28.38445198020203,12.072578189996667,-70.58658034038037,7.08144998550415
1759925726934825700,13.17482568359375,636.0250952164621,2.8296536008042352,16.856426904712194,-33.44633094779666,609.1557066361398,302.368033898843,24.38392253563354,10.983992681135149,-70.5866685499221,7.08144998550415
1759925727935290400,14.175290283203125,636.0299426149378,2.611436040677563,17.289310909449686,-33.44630905291606,609.1605540346155,297.1894226074219,22.15191824447422,10.672519684488913,-70.58676990068909,6.961369514465332
1759925728935270000,15.175269775390625,635.9780315604842,2.057166388746803,16.909649678120903,-33.44628026937064,609.1086429801619,297.1894226074219,18.792876022427812,10.268893105921261,-70.58685430255504,6.446044921875
1759925729934631200,16.174631103515626,635.9645745558151,1.2626304188632729,9.634679192835348,-33.44624495065556,609.0951859754929,297.1894226074219,21.18562775659,17.012657666921623,-70.58691221526072,5.388983249664307
1759925730935427000,17.175427001953125,635.9279204873214,1.218630957536559,11.463641697689885,-33.44622293275968,609.0585319069992,297.1894226074219,15.560773449121395,13.586068875753533,-70.58696208370554,3.503725051879883
1759925731935744500,18.17574462890625,635.9335912454617,1.36804028084383,13.026897569181546,-33.44621022897573,609.0642026651394,297.1894226074219,14,9.457535426169636,-70.58699112862043,3.503725051879883
1759925732931593500,19.171593505859374,635.9243963859103,1.2942998674363255,14.846407379599581,-33.44619993959072,609.055007805588,297.1894226074219,14,11.718560538285,-70.58701463600627,2.205505847930908
1759925733931308300,20.171308349609376,635.9243967812508,1.2942998676256452,47.55151117697082,-33.446190429445465,609.0550082009286,297.4666442871094,12.404530540298335,11.718560538284693,-70.58703544971571,2.2055058479307763
1759925734931568000,21.171568115234376,635.7886156383902,1.5533804562481495,180,-33.44619955781331,608.9192270580679,297.1894226074219,14.24595459057527,13.78042817579719,-70.58701701174033,0.18592877686023712
1759925735931969800,22.1719697265625,635.8582424120978,1.12232879171136,180,-33.44619763746899,608.9888538317755,297.1894226074219,16.024600008169344,15.589290538710692,-70.58702171285145,0.46849721670150635
1759925736931893500,23.1718935546875,635.8953483756632,1.145999026253769,72.75389119783176,-33.44618769253044,609.0259597953409,297.4666442871094,14.2459545905754,13.884748291228643,-70.58704604392237,1.276337862014745
1759925737932103700,24.172103759765626,635.8465831456706,0.8437341599038064,30.56530323008376,-33.44616671340705,608.9771945653483,297.4666442871094,14.75184244383574,14.788679115829694,-70.58709457628214,2.2367351055143887
1759925738931997700,25.171997802734374,635.8096537515521,0.9127339190334061,33.064904001926095,-33.44614602991016,608.9402651712298,297.4666442871094,14.245954590575815,15.086838988498645,-70.58714307432093,2.2367351055143887
1759925739932718600,26.172718505859375,635.8174425866455,1.7130692234866067,39.94168395246038,-33.44611219029759,608.9480540063232,301.72760009765625,14.245954590576845,15.892053701170466,-70.58722196151788,3.4752509593958463
1759925740932889300,27.172889404296875,635.7852309513837,0.7909672487447562,9.418960586253139,-33.44606266050951,608.9158423710614,301.72760009765625,14.245954590581837,16.307426324107006,-70.58733154323093,6.804451942439976
1759925741933047300,28.17304736328125,635.7900043558329,1.4289789322463013,17.016502617655544,-33.44603062339222,608.9206157755107,301.72760009765625,15.908213061990168,18.588123816755846,-70.58737733824124,6.8044519424399725
1759925742933195300,29.1731953125,635.7881061853841,1.2345533993536855,18.691654869691636,-33.44601383230022,608.9187176050618,301.72760009765625,14.245954590579702,16.755464907947275,-70.58740376271687,5.351798534391425
1759925743933331500,30.17333154296875,635.7881316011772,0.949867522778706,15.951398911579233,-33.44599545881993,608.9187430208549,301.72760009765625,14.245954590578961,16.889119053548797,-70.58743872260004,4.825050830839683
1759925744933459200,31.173459228515625,635.8011088771746,1.382488593411087,58.38114854595224,-33.44599698038471,608.9317202968523,301.72760009765625,14.245954590575836,16.70822337821881,-70.58743531850017,1.9187860488890736
1759925745933577000,32.17357690429687,635.7982747722417,1.0140470516070006,42.822220625562814,-33.4459899061273,608.9288861919194,301.72760009765625,14.245954590575826,16.63018508636973,-70.58744919324965,1.9187860488890736
1759925746933686300,33.173686279296874,635.829804959707,0.8331687341560445,82.69495545194826,-33.44599211751203,608.9604163793847,301.72760009765625,14.245954590575378,17.035885214869733,-70.58744356549484,0.8163785338401729
1759925747933788000,34.17378784179687,635.840685011819,0.9114017074665616,180,-33.445995672009175,608.9712964314967,301.72760009765625,14.24595459057527,18.06506362361387,-70.58743843845816,0.2089449167251587
1759925748933882000,35.17388208007812,635.849074665457,0.9540207815486301,180,-33.445996211051096,608.9796860851347,301.72760009765625,14.782211381719975,18.785473267801226,-70.58743908994668,0.09589836001396179
1759925749933969000,36.17396899414062,635.8617567280307,0.9413209096911643,180,-33.44599515224057,608.9923681477085,301.72760009765625,14.492543855536216,18.585425634955158,-70.58744112680561,0.09185204654932022
1759925750934048800,37.174048828125,635.8584110904485,0.8946459653912944,180,-33.44599377154358,608.9890225101262,301.72760009765625,14.24595459057527,18.55037322464698,-70.5874443979093,0.2238943874835968
1759925751934122500,38.17412255859375,635.8671468272805,0.9079265906150112,180,-33.44599334095226,608.9977582469583,301.72760009765625,14.24595459057527,18.704598656443952,-70.58744495517344,0.07543297111988068
1759925752934191600,39.174191650390625,635.8763499343768,0.8238577058190234,180,-33.44599172653408,609.0069613540545,301.72760009765625,14.245954590575268,19.98241709113923,-70.58744870698894,0.07424398511648178
1759925753934253800,40.17425390625,635.311715753749,1.231713717241922,180,-33.44598871777567,608.4423271734267,301.72760009765625,14.24595459057527,7.792186088490013,-70.58746782435875,0.1365782370791839
1759925754934312400,41.1743125,635.1568778483197,1.074969101034697,180,-33.44598833841432,608.2874892679974,301.72760009765625,14.245954590575272,7.96359208699898,-70.58746855626285,0.07112689231194419
1759925755934365700,42.17436572265625,634.9955295659602,1.1228447880895458,-1,-33.44601880565412,608.1261409856379,-1,14.245954590575272,8.184887585715362,-70.58749472782843,0.16033792236721348
1759925756934413300,43.174413330078124,634.8724171379581,1.2131915516143865,116.72893308237748,-33.44600489434284,608.0030285576358,302.7506553291154,14.245954554876867,8.462949087535652,-70.58751088042118,0.8282455850556677
1759925757934458400,44.174458251953126,634.9095874177292,1.3359603627277077,47.92725059491245,-33.44598522698067,608.0401988374069,299.5054289324001,14.245954488078842,8.57320501252351,-70.58754175898983,2.253512445044118
1759925758934498000,45.174498046875,634.8362129321322,1.3371696771027899,26.549471620361793,-33.44595345925669,607.9668243518099,299.00932403859787,14.245954380080724,8.558949585115677,-70.58759383743373,4.076704172080144
1759925759934535200,46.17453515625,634.663221694529,1.3473049205776608,16.853446904038854,-33.44590773355768,607.7938331142068,301.46935556823826,14.245954264598346,8.474604294285852,-70.58767034702022,6.473269740924119
1759925760934568400,47.174568359375,634.8397490866482,1.3417834751105269,12.72177996141658,-33.445849873730246,607.970360506326,302.71975219879516,14.245954180839744,8.464959925773526,-70.58775907455778,8.545062318461996
1759925761934597600,48.17459765625,635.2355038225651,1.3463197594910674,11.231483552841306,-33.445793761484225,608.3661152422428,302.4226989746094,14.24595417556237,8.411868188149302,-70.58785969859429,9.712957192786169
1759925762934624800,49.17462475585938,635.6059048827738,1.3382984312771709,9.98516521767544,-33.44573266583591,608.7365163024515,302.4226989746094,14.245954241732049,8.38901432449769,-70.5879669417851,10.859466553682587
1759925763934649300,50.1746494140625,635.4329798910767,1.4560885321507742,10.236841749071054,-33.445673067704085,608.5635913107544,302.4226989746094,14.245954339962205,8.15476262015984,-70.58807687812028,11.525517092794804
1759925764934670600,51.174670654296875,635.3670740155503,1.3370495767403685,10.131781311113219,-33.44562012763175,608.497685435228,302.4226989746094,14.245954282032056,8.24398927971591,-70.58816680523891,10.692826300219178
1759925765934690000,52.17468994140625,635.3366336338222,1.2372726190637953,9.80905164405517,-33.44557285304651,608.4672450534999,302.4226989746094,14.245954266201554,8.251400164479575,-70.58825558515667,10.220437981376099
1759925766934706000,53.174705810546875,635.2970717763528,1.43082236847739,12.811570880684195,-33.44553130278997,608.4276831960306,302.4226989746094,14.245954430182605,8.257617974870902,-70.58833361501254,9.049304452318111
1759925767934720000,54.17471997070312,635.3857085825875,1.2450499593795885,13.157546004529308,-33.44549652263205,608.5163200022653,302.4226989746094,14.245954368169722,8.178966249239634,-70.58839893079347,7.6674137579520245
1759925768934733000,55.174733154296874,635.2793459556997,1.239091636138198,17.034444441277312,-33.445474681446726,608.4099573753774,301.1097412109375,14.245954341820404,8.172625390157702,-70.58844140879384,5.8938345623703885
1759925769934743600,56.17474365234375,634.9614392509684,1.3568698118243987,21.31066152723828,-33.445453685951904,608.0920506706461,301.1097412109375,14.245954370495141,8.07718119220163,-70.58848290909212,5.157096879989183
1759925770934752300,57.174752197265626,634.7733889361843,1.3594667446238091,18.9019547580296,-33.44542344550685,607.9040003558621,301.1097412109375,14.245954341534297,7.912638412086557,-70.58854268316634,5.8257694395375
1759925771934759200,58.17475927734375,634.2671386888251,1.366881088118247,16.006674978410103,-33.44538778068857,607.3977501085028,301.1097412109375,14.245954310413227,7.796037703100895,-70.58861317905016,6.913952562765024
1759925772934764000,59.17476391601563,633.7937371795997,1.2731729271992756,12.78174946032026,-33.44534497482831,606.9243485992774,301.1097412109375,14.24595418791555,7.850464714643389,-70.5886977893599,8.062076664826044
1759925773934767600,60.174767578125,633.6109381085262,1.377369282845213,11.69587400391588,-33.445288176069056,606.7415495282039,303.06988525390625,14.245954132217838,7.844131317437387,-70.58879517046307,9.535580439332758
1759925774934770200,61.174770263671874,633.2143295500427,1.4615377121728899,10.918464563519406,-33.445229707010824,606.3449409697205,303.08880615234375,14.245954158105157,7.850690874177532,-70.5889022686613,10.838479408074576
1759925775934771000,62.17477099609375,632.8199624735862,1.3757581510646544,9.459947527387673,-33.44516687375465,605.9505738932639,303.08880615234375,14.24595403974214,7.794838278788402,-70.58901729049597,11.775696805235432
1759925776934771000,63.17477099609375,632.5372762270272,1.2488786497882085,8.806717540266833,-33.44510715436901,605.6678876467049,303.11822509765625,14.245953926832353,7.909740712545472,-70.58912660379377,11.479764531728316
1759925777934769700,64.17476977539063,632.9408884150907,1.3635622700177785,10.332012995292624,-33.44505384016857,606.0714998347685,303.11822509765625,14.245954058020933,8.030970372088822,-70.58922409071903,10.688999297591419
1759925778934767400,65.17476733398438,633.2902624309063,1.3568741884637976,11.044580098748684,-33.445002732688785,606.420873850584,303.11822509765625,14.24595405219573,8.190424374625163,-70.58931754252512,9.952953539514592
1759925779934763500,66.17476342773438,633.276672472246,1.3559448265378118,12.768300147563883,-33.44496358110981,606.4072838919237,303.11822509765625,14.24595415073127,8.321756655864275,-70.58938913259745,8.603499128806085
1759925780934759200,67.17475927734375,633.2047722507268,1.3516265670727408,15.019609359343102,-33.44493049670044,606.3353836704046,303.11822509765625,14.245954241369866,8.290407998682147,-70.5894496285742,7.290558293654316
1759925781934753800,68.17475390625,633.1469416003674,1.3463175371582774,19.651541424615615,-33.444919816965914,606.2775530200452,303.11822509765625,14.245954358231586,8.286035718731293,-70.58950504041285,5.550326407410895
1759925782934747600,69.17474755859375,632.7887872308493,1.3729751764536913,25.829799164491348,-33.44489700396232,605.919398650527,303.11822509765625,14.245954435483604,8.140115997776311,-70.58953427833802,4.302124177239085
1759925783934741500,70.17474145507812,632.6765745915473,1.2581129941976288,28.34082788902698,-33.4448724170033,605.807186011225,303.11822509765625,14.245954425534292,8.101343797341759,-70.58955582928456,3.5892392042850707
1759925784934733800,71.17473388671876,632.6714561711997,1.4506259364416827,41.706250403664335,-33.4448597886268,605.8020675908774,303.11822509765625,14.245954510654757,8.02876560562886,-70.58957892046693,2.8116459281853885
1759925785934725000,72.17472509765625,632.7567553399131,1.256918668034063,40.57051667077619,-33.4448465699522,605.8873667595908,303.11822509765625,14.245954499073958,7.9595308725831435,-70.58960309101617,2.50686956976353
1759925786934716200,73.17471606445312,632.8500393880531,1.2743101011259192,53.142384982977866,-33.44483918907978,605.9806508077309,303.11822509765625,14.245954539287926,7.825202685520934,-70.58961658705441,1.9418761313811896
1759925787934706700,74.17470678710937,633.1478389818221,1.3520584664679025,68.42470952229783,-33.44483242029308,606.2784504014999,303.11822509765625,14.245954559712986,7.631774533144276,-70.58962896388402,1.6006486144516952
1759925788934696700,75.17469677734375,633.2582527566701,1.4068614673438526,180,-33.44483537553583,606.3888641763479,303.11822509765625,14.245954603152754,7.527297886402698,-70.58964989163998,1.3826506195628663
1759925789934685400,76.174685546875,633.2014664728194,1.3805709403227369,125.2483751012808,-33.444833376947365,606.3320778924972,312.11904225612375,14.245954594542368,7.438995082278485,-70.58965361716348,0.8906612987108722
1759925790934674700,77.1746748046875,633.2070219721645,1.3524183293269854,-1,-33.44483297331265,606.3376333918422,-1,14.24595459057527,7.3575789907853855,-70.58965535953588,0.4774182263007495
1759925791934663200,78.1746630859375,633.1989655271173,1.4947884852490316,-1,-33.44483879600359,606.329576946795,-1,14.24595459057527,7.157234417175962,-70.58965316012423,0.41058400722771865
1759925792934651000,79.17465087890625,633.219573084265,0.7185619110417696,-1,-33.44484024628425,606.3501845039427,-1,14.245954590575272,7.3053280578299935,-70.58965333902817,0
1759925793934638000,80.17463818359376,633.219573084265,0.7185619110417696,-1,-33.44484024628425,606.3501845039427,-1,14.245954590575272,7.4631355371847325,-70.58965333902817,0
1759925794934625500,81.17462548828125,633.219573084265,0.7185619110417696,-1,-33.44484024628425,606.3501845039427,-1,14.24595459057527,7.6151693546872385,-70.58965333902817,0
